Progeny Sire Dam
1102 1008 566
1103 1008 566
1104 1008 681
1105 1008 769
1106 1008 770
1107 1030 555
1108 1030 555
1109 1030 831
1110 1030 1036
1111 1030 582
1112 1030 1035
1113 920 1010
1114 920 731
1115 920 1013
1116 920 627
1117 920 1028
1118 882 918
1119 882 625
1120 882 835
1121 882 682
1122 882 933
1123 995 610
1124 995 610
1125 995 851
1126 995 541
1127 995 658
1128 995 737
1129 856 985
1130 856 705
1131 856 580
1132 856 1034
1133 856 826
1134 1065 832
1135 1065 647
1136 1065 599
1137 1065 599
1138 1065 876
1139 1065 889
1140 902 955
1141 902 977
1142 902 590
1143 902 867
1144 902 956
1145 971 698
1146 971 605
1147 971 900
1148 971 874
1149 971 1016
1150 891 733
1151 891 818
1152 891 994
1153 891 847
1154 891 629
1155 891 629
1156 864 791
1157 864 1063
1158 864 899
1159 864 1050
1160 864 947
1161 910 842
1162 910 941
1163 910 846
1164 910 637
1165 910 925
1166 935 729
1167 935 542
1168 935 880
1169 935 565
1170 935 771
1171 827 907
1172 827 1041
1173 827 1062
1174 827 543
1175 827 650
